# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,2.259999960660934448e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.352134153031990493e+01,1.268670530839778365e+01,-1.226576977376681299e+01,-1.309592558652217420e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,2.351999998092651367e+00
7.669903939428205364e-01,7.669903939428205364e-01,0.000000000000000000e+00,-7.669903939428205364e-01,1.381185484349634862e+01,1.288103537202738025e+01,-1.269143879050398205e+01,-1.338487939571684215e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,4.479000091552734375e+00
1.533980787885641073e+00,7.669903939428205364e-01,-1.533980787885641073e+00,-7.669903939428205364e-01,1.407544397132074820e+01,1.328207756896158820e+01,-1.265234353531218936e+01,-1.387943568719378362e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.644000053405761719e+00
7.669903939428205364e-01,7.669903939428205364e-01,-1.533980787885641073e+00,0.000000000000000000e+00,1.477938155110641816e+01,1.368311976589579615e+01,-1.302445324468494192e+01,-1.460637411463520152e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.322000026702880859e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.669903939428205364e-01,1.551024331624412866e+01,1.431779828148666134e+01,-1.386132722598665623e+01,-1.489532792382987125e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.052999997138977051e+01
7.669903939428205364e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.580075662942057235e+01,1.474576466377291339e+01,-1.428699624272382351e+01,-1.562226635127129093e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.268400001525878906e+01
7.669903939428205364e-01,7.669903939428205364e-01,-7.669903939428205364e-01,-7.669903939428205364e-01,1.676828333703064189e+01,1.534113692433671616e+01,-1.487917248655147340e+01,-1.640577645194289857e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.315100002288818359e+01
7.669903939428205364e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.669903939428205364e-01,1.726550878351169871e+01,1.597581543992757958e+01,-1.551044398557091597e+01,-1.690033274341983827e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.527800011634826660e+01
1.533980787885641073e+00,7.669903939428205364e-01,-7.669903939428205364e-01,-7.669903939428205364e-01,1.752909791133609474e+01,1.617014550355717617e+01,-1.570373086634360149e+01,-1.739488903489677796e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.763999986648559570e+01
7.669903939428205364e-01,7.669903939428205364e-01,-7.669903939428205364e-01,-7.669903939428205364e-01,1.823303549112176825e+01,1.657118770049138590e+01,-1.610262022939856408e+01,-1.788944532637371765e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.978000020980834961e+01
7.669903939428205364e-01,7.669903939428205364e-01,0.000000000000000000e+00,-7.669903939428205364e-01,1.873026093760282151e+01,1.697222989742559207e+01,-1.673389172841800487e+01,-1.838400161785065734e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,2.124800026416778564e+01
1.533980787885641073e+00,7.669903939428205364e-01,-1.533980787885641073e+00,-7.669903939428205364e-01,1.899385006542722110e+01,1.737327209435980180e+01,-1.669479647322621219e+01,-1.887855790932759703e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,2.340800023078918457e+01
7.669903939428205364e-01,1.533980787885641073e+00,-7.669903939428205364e-01,-1.533980787885641073e+00,1.969778764521289105e+01,1.754067797263735429e+01,-1.729928831856344473e+01,-1.914073206484005851e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,2.578400039672851562e+01
1.533980787885641073e+00,3.067961575771282146e+00,-1.533980787885641073e+00,-1.533980787885641073e+00,2.043167803416630335e+01,1.782164135848837461e+01,-1.783790525502667634e+01,-2.007628534042952140e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,2.633600038290023804e+01
