# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,2.129999995231628418e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.621529635823177529e+01,3.773463146305783766e+01,-3.773463146305783766e+01,-4.621529635823177529e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,2.332000017166137695e+00
6.135923151542564291e+00,2.300971181828461720e+00,-3.834951969714103015e+00,-3.834951969714103015e+00,2.897300377214785527e+01,3.204111319790647627e+01,-2.729319722247435465e+01,-3.609487773529603771e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,4.525000095367431641e+00
1.610679827279923160e+01,1.687378866674205113e+01,-1.380582709097077121e+01,-1.994175024251333639e+01,-8.579635089510908585e-01,-1.190531465436487046e+01,2.589203892609314828e+00,1.245817166386837727e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.672999858856201172e+00
1.994175024251333639e+01,1.840776945462769376e+01,-1.840776945462769376e+01,-2.377670221222743763e+01,-1.286545461752799291e+01,-1.720180801199567000e+01,1.702208682288698682e+01,2.491496574521697127e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.819000244140625000e+00
1.764077906068487422e+01,1.457281748491359075e+01,-1.764077906068487422e+01,-1.764077906068487422e+01,-6.330584797148105736e+00,-6.060316644722719914e+00,1.537642740647828532e+01,6.959608959028491526e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.070500028133392334e+01
1.687378866674205113e+01,1.533980787885641206e+01,-1.227184630308512858e+01,-1.303883669702794990e+01,-4.274049168537311871e+00,-8.713270230974432096e+00,-6.028405307811322000e-01,-6.966716608162601965e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.288800001144409180e+01
1.457281748491359075e+01,1.150485590914230905e+01,-1.150485590914230905e+01,-1.303883669702794990e+01,2.620263030059934106e+00,2.787663514515879903e+00,-2.967384703624561748e+00,-7.188457816383373000e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.504300022125244141e+01
1.380582709097077121e+01,9.203884727313846881e+00,-1.150485590914230905e+01,-1.303883669702794990e+01,4.988400461445829492e+00,9.980570442473148063e+00,-3.307999452096669124e+00,-7.991382611042279649e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.609800016880035400e+01
1.303883669702794990e+01,1.227184630308512858e+01,-8.436894333371025567e+00,-1.380582709097077121e+01,7.494239062828323306e+00,8.347670549536428952e-01,-1.288427818264262825e+01,-5.839165831546987206e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.824900031089782715e+01
