# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,6.622219848632812500e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.462608467889850061e+01,2.827207975123454275e+01,-2.827207975123454275e+01,-3.462608467889850061e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,6.644210205078125000e+02
4.601942363656923440e+00,2.300971181828461720e+00,-2.300971181828461720e+00,-2.300971181828461720e+00,3.977202618852581395e+01,3.416253401750712726e+01,-3.416253401750712726e+01,-4.244000227385591018e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,6.665609741210937500e+02
1.227184630308512858e+01,1.150485590914230905e+01,-1.227184630308512858e+01,-1.227184630308512858e+01,3.974538448140273772e+01,3.124141914296762934e+01,-3.035209378119093415e+01,-4.055302536622453147e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,6.688850097656250000e+02
2.607767339405589979e+01,1.917475984857051330e+01,-2.224272142434179855e+01,-2.607767339405589979e+01,2.991200359732676972e+01,2.686839145269437523e+01,-2.304187637731363836e+01,-3.071964448214855636e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,6.710549926757812500e+02
4.065049087896949231e+01,3.298058693954128273e+01,-3.374757733348410227e+01,-3.911651009108385324e+01,1.190309156568222804e+01,9.940082549565843806e+00,-9.319970816063072760e+00,-1.475859680233134519e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,6.733599853515625000e+02
4.295146206079795093e+01,3.528155812136974845e+01,-3.221359654559846319e+01,-4.218447166685513139e+01,1.662258243890574860e+00,1.505808764157077206e+00,-4.524682954716022110e+00,-3.090010862215134324e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,6.776820068359375000e+02
4.218447166685513139e+01,3.374757733348410227e+01,-3.528155812136974845e+01,-4.448544284868359711e+01,-2.042485897385290627e+00,-5.409370612876038820e-01,1.781160528293148637e+00,3.902821097893608204e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,6.798040161132812500e+02
4.141748127291231185e+01,2.991262536377000458e+01,-3.298058693954128273e+01,-4.065049087896949231e+01,-5.478016410387226642e+00,6.187204551456675361e-01,2.938580991961129207e+00,4.588691048610530565e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,6.819669799804687500e+02
3.758252930319820706e+01,3.374757733348410227e+01,-2.837864457588436196e+01,-3.758252930319820706e+01,-5.087031848008428447e+00,-5.768807504818405540e+00,6.203844854772251338e-01,4.817818219734500751e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,6.841119995117187500e+02
