# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
1.380582709097077121e+01,1.303883669702794990e+01,-9.970875121256668194e+00,-1.533980787885641206e+01,1.206908101617543139e+01,5.814603843243805414e+00,-1.435197391822143231e+01,-7.935002792823762974e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.327827148437500000e+03
1.533980787885641206e+01,1.303883669702794990e+01,-1.457281748491359075e+01,-1.457281748491359075e+01,7.791677067488786079e+00,5.517187338388342965e+00,-1.113895486762700671e+00,-1.012792980743875404e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.329953125000000000e+03
1.457281748491359075e+01,1.303883669702794990e+01,-1.380582709097077121e+01,-1.533980787885641206e+01,9.572064728495004005e+00,5.460781585225277013e+00,-2.316887960453742679e+00,-8.312666501641023942e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.332265136718750000e+03
1.457281748491359075e+01,1.150485590914230905e+01,-1.227184630308512858e+01,-1.610679827279923160e+01,9.697952631434091586e+00,9.835870560269476925e+00,-6.422763307224017559e+00,-5.833088036356352646e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.334405761718750000e+03
1.457281748491359075e+01,1.303883669702794990e+01,-1.380582709097077121e+01,-1.533980787885641206e+01,9.823840534373179167e+00,5.404375832062211060e+00,-1.722054950742816892e+00,-7.756801422697407133e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.336549804687500000e+03
1.610679827279923160e+01,1.150485590914230905e+01,-1.227184630308512858e+01,-1.380582709097077121e+01,5.277222957412606164e+00,9.779464807106410973e+00,-5.827930297513091773e+00,-1.228598117726222583e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.338737792968750000e+03
1.380582709097077121e+01,1.150485590914230905e+01,-1.303883669702794990e+01,-1.533980787885641206e+01,1.187344182365332301e+01,1.002047555879880747e+01,-3.463474680981725395e+00,-8.008577228575580520e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.340878906250000000e+03
1.457281748491359075e+01,1.227184630308512858e+01,-1.227184630308512858e+01,-1.687378866674205113e+01,9.932290614916510663e+00,7.925233570541376338e+00,-5.502310916076096348e+00,-3.192746023341080708e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.343009765625000000e+03
1.457281748491359075e+01,1.150485590914230905e+01,-1.227184630308512858e+01,-1.380582709097077121e+01,1.005817851785559824e+01,1.023328343390967099e+01,-5.474108039494564260e+00,-1.185600400125769838e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.345146972656250000e+03
1.303883669702794990e+01,1.150485590914230905e+01,-1.303883669702794990e+01,-1.533980787885641206e+01,1.485657190069434819e+01,1.047429418560206749e+01,-3.109652422963196994e+00,-7.578600052571053070e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.347342773437500000e+03
1.610679827279923160e+01,1.073786551519948773e+01,-1.227184630308512858e+01,-1.610679827279923160e+01,6.175876100381969991e+00,1.305155767724429872e+01,-5.148488658057567946e+00,-5.099021587286381774e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.349479980468750000e+03
1.610679827279923160e+01,1.303883669702794990e+01,-1.150485590914230905e+01,-1.457281748491359075e+01,5.763336746773196850e+00,6.553023837361131143e+00,-7.456538521425864374e+00,-9.358987713577270995e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.351623046875000000e+03
1.457281748491359075e+01,1.227184630308512858e+01,-1.227184630308512858e+01,-1.533980787885641206e+01,1.002330287306408607e+01,8.591860072455501651e+00,-5.361296533168432354e+00,-7.148622876566523843e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.353962890625000000e+03
1.533980787885641206e+01,1.303883669702794990e+01,-1.227184630308512858e+01,-1.457281748491359075e+01,7.812938036053340696e+00,6.227404455924135718e+00,-5.333093656586899378e+00,-9.341549891181514909e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.356090820312500000e+03
1.610679827279923160e+01,1.380582709097077121e+01,-1.073786551519948773e+01,-1.457281748491359075e+01,5.190033845433825732e+00,4.103959591085163616e+00,-1.021840701159742615e+01,-9.862539325333619544e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.358383789062500000e+03
1.380582709097077121e+01,1.303883669702794990e+01,-1.227184630308512858e+01,-1.533980787885641206e+01,1.178625271167454258e+01,5.873582197905605540e+00,-6.056125911664090644e+00,-7.652174488322874168e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.360543945312500000e+03
1.457281748491359075e+01,1.303883669702794990e+01,-1.073786551519948773e+01,-1.533980787885641206e+01,9.845101502937730231e+00,5.576165693050141314e+00,-1.070042851498221914e+01,-7.508848762988030501e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.362731933593750000e+03
