# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.414419099861098417e+01,1.971364939963184781e+01,-1.971364939963184781e+01,-2.414419099861098417e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.232810058593750000e+02
2.300971181828461720e+00,7.669903939428205364e-01,-7.669903939428205364e-01,-2.300971181828461720e+00,3.276574947839019103e+01,2.765196801773177171e+01,-2.765196801773177171e+01,-3.276574947839019103e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.255000000000000000e+02
1.073786551519948773e+01,7.669903939428206030e+00,-7.669903939428206030e+00,-8.436894333371025567e+00,3.561877320532543933e+01,3.036017913953560310e+01,-3.036017913953560310e+01,-3.747910840583375602e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.276970214843750000e+02
1.840776945462769376e+01,1.533980787885641206e+01,-1.457281748491359075e+01,-1.840776945462769376e+01,3.613055875475022560e+01,3.002535587337128931e+01,-3.064546760687406035e+01,-3.693819963957201935e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.298660278320312500e+02
3.221359654559846319e+01,2.377670221222743763e+01,-2.377670221222743763e+01,-2.684466378799871933e+01,2.898931415341355589e+01,2.637828459096490974e+01,-2.664749821923884099e+01,-3.413773717275473985e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.320900268554687500e+02
3.911651009108385324e+01,2.837864457588436196e+01,-2.837864457588436196e+01,-3.604854851531256799e+01,2.258322984467107375e+01,2.287042206505915232e+01,-2.313963569333308357e+01,-2.775581306142145621e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.343049926757812500e+02
4.295146206079795093e+01,3.681553890925538752e+01,-3.604854851531256799e+01,-4.601942363656923618e+01,1.623466981547430521e+01,1.464671910199596105e+01,-1.553604446377266157e+01,-1.752321367729824431e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.365280151367187500e+02
4.601942363656923618e+01,3.681553890925538752e+01,-3.834951969714102660e+01,-4.832039481839769479e+01,9.160153378410656799e+00,1.028289529645001643e+01,-9.581099085992335063e+00,-9.991954460641652602e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.387180175781250000e+02
4.755340442445487525e+01,3.911651009108385324e+01,-4.141748127291231185e+01,-4.755340442445487525e+01,2.249005895256830811e+00,4.058736290395756896e+00,-2.198401089887447313e+00,-4.133501293174349556e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.408590087890625000e+02
4.832039481839769479e+01,3.834951969714102660e+01,-3.834951969714102660e+01,-4.832039481839769479e+01,-4.580457110942084853e+00,-4.926166664692068764e-01,1.300257551290995295e+00,2.695961713024566109e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.430269775390625000e+02
4.218447166685513139e+01,3.221359654559846319e+01,-3.374757733348410227e+01,-4.448544284868359711e+01,-1.123062490349042264e+01,-5.605438550908585782e+00,7.653302902735914515e+00,1.174489196262907953e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.455250244140625000e+02
3.758252930319820706e+01,3.451456772742692891e+01,-3.451456772742692891e+01,-3.911651009108385324e+01,-1.183481037725243468e+01,-1.021431578731926670e+01,1.156038392868891407e+01,1.253660658771011249e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.477650146484375000e+02
3.604854851531256799e+01,2.991262536377000458e+01,-3.067961575771282412e+01,-3.681553890925538752e+01,-1.330416101538195051e+01,-1.004982830702680019e+01,1.201600818189921682e+01,1.392427274888471445e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.499299926757812500e+02
3.144660615165564366e+01,2.837864457588436196e+01,-2.607767339405589979e+01,-3.451456772742692891e+01,-1.175463746295252498e+01,-1.075050599110183569e+01,1.050545256023710117e+01,1.450429802523753153e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.520670166015625000e+02
2.684466378799871933e+01,2.454369260617025716e+01,-2.377670221222743763e+01,-2.607767339405589979e+01,-8.589832140879515521e+00,-9.052421218120697333e+00,9.239950369439714706e+00,9.315788548746390063e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.542000122070312500e+02
2.300971181828461809e+01,2.070874063645615593e+01,-2.224272142434179855e+01,-2.377670221222743763e+01,-4.429856782665700266e+00,-6.008268303769911611e+00,7.786919027323312648e+00,6.126823029264185649e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.563380126953125000e+02
