# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,7.535360107421875000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.096253034232413270e+00,7.427059501704219358e+00,-7.427059501704219358e+00,-9.096253034232413270e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,7.557659912109375000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.014444240226116456e+01,8.282902536864488852e+00,-8.282902536864488852e+00,-1.014444240226116456e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,7.579379882812500000e+02
7.669903939428205364e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.072538122229995139e+01,9.138745572024758346e+00,-9.138745572024758346e+00,-1.119263177028991763e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,7.602529907226562500e+02
7.669903939428205364e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.669903939428205364e-01,1.171972786467391714e+01,9.994588607185027840e+00,-9.994588607185027840e+00,-1.177357059032870268e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,7.624249877929687500e+02
3.834951969714103015e+00,7.669903939428205364e-01,-7.669903939428205364e-01,-3.067961575771282146e+00,1.084507231508801617e+01,1.038318109435532932e+01,-1.038318109435532932e+01,-1.136616558873276972e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,7.647360229492187500e+02
3.834951969714103015e+00,7.669903939428205364e-01,-1.533980787885641073e+00,-4.601942363656923440e+00,1.162404805484283798e+01,1.118518140386081328e+01,-1.071793085587084704e+01,-1.126448295816244460e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,7.668720092773437500e+02
4.601942363656923440e+00,1.533980787885641073e+00,-2.300971181828461720e+00,-3.834951969714103015e+00,1.193577324660769534e+01,1.151993116537633099e+01,-1.099883789173157922e+01,-1.245686652025244712e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,7.690650024414062500e+02
5.368932757599743866e+00,4.601942363656923440e+00,-4.601942363656923440e+00,-7.669903939428206030e+00,1.275726054985344149e+01,1.103955868980828825e+01,-1.098571596415350271e+01,-1.157087980850268494e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,7.713339843750000000e+02
8.436894333371025567e+00,6.135923151542564291e+00,-5.368932757599743866e+00,-8.436894333371025567e+00,1.155954864633882551e+01,1.063784427505991026e+01,-1.105125209739508918e+01,-1.161339137199361105e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,7.735280151367187500e+02
