# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
4.218447166685513139e+01,2.454369260617025716e+01,-3.298058693954128273e+01,-2.914563496982718149e+01,1.468136576024794948e+01,1.176246070435996316e+01,-1.322847783391522469e+01,-1.234392870139513931e+01,4.059761083821594241e+01,2.316653265271800777e+01,-3.260712428818228403e+01,-2.771088945890559785e+01,4.074999809265136719e+00
4.295146206079795093e+01,2.454369260617025716e+01,-3.298058693954128273e+01,-2.837864457588436196e+01,1.433632013212512391e+01,1.166577393973035903e+01,-1.312205979666212841e+01,-1.242256256228970202e+01,4.059761083821594241e+01,2.316653265271800777e+01,-3.260712428818228403e+01,-2.771088945890559785e+01,8.737000465393066406e+00
4.141748127291231185e+01,2.454369260617025716e+01,-3.528155812136974845e+01,-3.067961575771282412e+01,1.458448671856409362e+01,1.156908717510075313e+01,-1.231849535151559039e+01,-1.165200684037296952e+01,4.059761083821594241e+01,2.316653265271800777e+01,-3.260712428818228403e+01,-2.771088945890559785e+01,1.782999992370605469e+00
4.218447166685513139e+01,2.377670221222743763e+01,-3.374757733348410227e+01,-3.144660615165564366e+01,1.423944109044126805e+01,1.170603672912780446e+01,-1.265006193250924760e+01,-1.131943573670298875e+01,4.059761083821594241e+01,2.316653265271800777e+01,-3.260712428818228403e+01,-2.771088945890559785e+01,5.784999847412109375e+00
4.141748127291231185e+01,2.377670221222743763e+01,-3.451456772742692891e+01,-2.761165418194154242e+01,1.430781972892766696e+01,1.163627414985024089e+01,-1.233804141297387780e+01,-1.238115744881989144e+01,4.059761083821594241e+01,2.316653265271800777e+01,-3.260712428818228403e+01,-2.771088945890559785e+01,9.758999824523925781e+00
4.448544284868359711e+01,2.377670221222743763e+01,-3.221359654559846319e+01,-2.761165418194154242e+01,1.517804706595400432e+01,1.260221719703799614e+01,-1.452415548180957927e+01,-1.367101808058589185e+01,4.662296408830196270e+01,2.647819960317496069e+01,-3.796117285612874070e+01,-3.229882684692265826e+01,1.973000049591064453e+00
4.295146206079795093e+01,2.377670221222743763e+01,-3.374757733348410227e+01,-2.991262536377000458e+01,1.590308616785301865e+01,1.276495801155126664e+01,-1.438040826143495288e+01,-1.324761988236654275e+01,4.662296408830196270e+01,2.647819960317496069e+01,-3.796117285612874070e+01,-3.229882684692265826e+01,5.657999992370605469e+00
4.065049087896949231e+01,2.454369260617025716e+01,-3.451456772742692891e+01,-2.761165418194154242e+01,1.673287835611584029e+01,1.262615419282726847e+01,-1.429514482440653467e+01,-1.402808108773261786e+01,4.662296408830196270e+01,2.647819960317496069e+01,-3.796117285612874070e+01,-3.229882684692265826e+01,8.944000244140625000e+00
4.141748127291231185e+01,2.454369260617025716e+01,-3.298058693954128273e+01,-2.914563496982718149e+01,1.675700850204488646e+01,1.276197082198849486e+01,-1.494702787947879052e+01,-1.381028537179554228e+01,4.085207260842118870e+01,2.338142218567070429e+01,-3.285551161186905489e+01,-2.802382364290394889e+01,7.429999709129333496e-01
4.141748127291231185e+01,2.531068300011308025e+01,-3.528155812136974845e+01,-3.067961575771282412e+01,1.505429879319713571e+01,1.161211985403116387e+01,-1.279216466881643477e+01,-1.209443053487394337e+01,4.085207260842118870e+01,2.338142218567070429e+01,-3.285551161186905489e+01,-2.802382364290394889e+01,4.076000213623046875e+00
