# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,2.099999934434890747e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.121164980372712705e+01,1.731923954057947057e+01,-1.731923954057947057e+01,-2.121164980372712705e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.707000017166137695e+00
7.669903939428205364e-01,7.669903939428205364e-01,-7.669903939428205364e-01,-1.533980787885641073e+00,2.056403483547160249e+01,1.659052127527398568e+01,-1.659052127527398568e+01,-1.947444828183643040e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,3.839999914169311523e+00
8.436894333371025567e+00,5.368932757599743866e+00,-5.368932757599743866e+00,-5.368932757599743866e+00,1.008743796883883093e+01,1.039116732613193861e+01,-1.039116732613193861e+01,-1.442308126771880694e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,4.480999886989593506e+00
1.073786551519948773e+01,6.902913545485385605e+00,-6.902913545485385605e+00,-1.073786551519948773e+01,7.010917821045179466e+00,8.413942097566330602e+00,-8.413942097566330602e+00,-7.079026568027302346e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,6.618999958038330078e+00
1.227184630308512858e+01,8.436894333371025567e+00,-8.436894333371025567e+00,-1.073786551519948773e+01,4.955875479904578107e+00,6.391311037679308527e+00,-6.391311037679308527e+00,-7.203157334157041625e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.779000043869018555e+00
1.150485590914230905e+01,6.902913545485385605e+00,-8.436894333371025567e+00,-1.150485590914230905e+01,6.271020650138519059e+00,8.770053661412749335e+00,-6.658989301124531579e+00,-6.384535228442056898e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.104800009727478027e+01
1.073786551519948773e+01,5.368932757599743866e+00,-9.203884727313846881e+00,-9.970875121256668194e+00,7.755702417823617800e+00,1.132804124819021929e+01,-6.016325973978609909e+00,-8.958803549762324181e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.635100007057189941e+01
1.150485590914230905e+01,9.203884727313846881e+00,-6.135923151542564291e+00,-9.970875121256668194e+00,6.790246630318184984e+00,6.082056358719098554e+00,-1.046310548892049042e+01,-9.105637231552771382e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.849600005149841309e+01
9.970875121256668194e+00,9.203884727313846881e+00,-8.436894333371025567e+00,-1.073786551519948773e+01,9.070847588057558752e+00,6.170489659120294235e+00,-7.373590791059003280e+00,-8.162884359708048265e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,1.940400004386901855e+01
