# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.095260009765625000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.536110600565291406e+01,2.070725634216122302e+01,-2.070725634216122302e+01,-2.536110600565291406e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.117839965820312500e+02
1.533980787885641073e+00,2.300971181828461720e+00,-7.669903939428205364e-01,-2.300971181828461720e+00,2.799658647757290808e+01,2.107827196562692507e+01,-2.368373833385068750e+01,-2.669385329346102509e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.140789794921875000e+02
9.970875121256668194e+00,6.902913545485385605e+00,-8.436894333371025567e+00,-9.970875121256668194e+00,1.836904103593811755e+01,1.673344715193519860e+01,-1.466640804025929867e+01,-1.809982740766418630e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.163400268554687500e+02
1.533980787885641206e+01,1.073786551519948773e+01,-1.303883669702794990e+01,-1.380582709097077121e+01,1.099107841973761701e+01,1.207607375271177119e+01,-8.167874200376129323e+00,-1.332733115968744997e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.185670166015625000e+02
1.994175024251333639e+01,1.457281748491359075e+01,-1.457281748491359075e+01,-1.533980787885641206e+01,3.031353589731486053e+00,6.072632212118693751e+00,-5.264991327296905332e+00,-1.111696632267670637e+01,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.206900024414062500e+02
1.840776945462769376e+01,1.380582709097077121e+01,-1.303883669702794990e+01,-1.917475984857051330e+01,3.878212462976827979e+00,6.539521634827249130e+00,-7.034613934117342815e+00,-4.459974676782461067e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.228699951171875000e+02
1.687378866674205113e+01,1.303883669702794990e+01,-1.457281748491359075e+01,-1.610679827279923160e+01,3.774104726065537374e+00,5.901353667858556307e+00,-3.026673671360864404e+00,-7.499760564642787841e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.253250122070312500e+02
1.994175024251333639e+01,1.457281748491359075e+01,-1.457281748491359075e+01,-1.764077906068487422e+01,-2.118580992264693208e+00,2.998470794779332316e+00,-2.190829909957542121e+00,-4.481754842810252271e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.275040283203125000e+02
1.687378866674205113e+01,1.303883669702794990e+01,-1.227184630308512858e+01,-1.610679827279923160e+01,1.333744249204411592e+00,4.768093401599769798e+00,-5.263185700889862595e+00,-6.136254600877382614e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.296389770507812500e+02
1.764077906068487422e+01,1.303883669702794990e+01,-1.380582709097077121e+01,-1.610679827279923160e+01,-6.507419167901762336e-01,4.470676896744307349e+00,-2.629516456084564968e+00,-5.723715247268608586e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.317630004882812500e+02
1.610679827279923160e+01,1.380582709097077121e+01,-1.380582709097077121e+01,-1.687378866674205113e+01,1.003757841276955221e+00,2.870527207776961465e+00,-2.062886322955172158e+00,-4.008442709547956895e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.339680175781250000e+02
1.687378866674205113e+01,1.303883669702794990e+01,-1.227184630308512858e+01,-1.610679827279923160e+01,-7.115146964436964705e-01,3.606630258759450314e+00,-4.101722558049543110e+00,-4.629422911777132832e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.361149902343750000e+02
1.610679827279923160e+01,1.380582709097077121e+01,-1.227184630308512858e+01,-1.533980787885641206e+01,-9.053449421451986723e-02,2.006480569792105317e+00,-4.073519681468010134e+00,-5.519616742280238242e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.382600097656250000e+02
1.457281748491359075e+01,1.227184630308512858e+01,-1.303883669702794990e+01,-1.687378866674205113e+01,2.102392520400468534e+00,4.045316804886476270e+00,-2.742583620774595055e+00,-2.770824648721637029e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.403989868164062500e+02
1.380582709097077121e+01,1.380582709097077121e+01,-1.303883669702794990e+01,-1.610679827279923160e+01,3.531013607451434666e+00,1.411647560081179087e+00,-2.445167115919132605e+00,-3.391804850950814298e+00,1.493147247904204455e+01,1.219149622735426597e+01,-1.219149622735426597e+01,-1.493147247904204455e+01,8.425499877929687500e+02
