# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.747420043945312500e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.414419099861098417e+01,1.971364939963184781e+01,-1.971364939963184781e+01,-2.414419099861098417e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.769569702148437500e+02
1.533980787885641073e+00,1.533980787885641073e+00,-2.300971181828461720e+00,-1.533980787885641073e+00,2.604853563569169950e+01,2.104095503810711421e+01,-2.042084330460434316e+01,-2.604853563569169950e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.791060180664062500e+02
1.533980787885641206e+01,1.150485590914230905e+01,-1.227184630308512858e+01,-1.380582709097077121e+01,1.988343522509947547e+01,1.746844800567528466e+01,-1.660604400672598047e+01,-2.136595095755155427e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.813859863281250000e+02
1.994175024251333639e+01,1.303883669702794990e+01,-1.380582709097077121e+01,-1.687378866674205113e+01,1.769205115852552623e+01,1.758429231691786754e+01,-1.664112422948637970e+01,-2.057631853494750729e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.835520019531250000e+02
2.377670221222743763e+01,1.917475984857051330e+01,-1.917475984857051330e+01,-2.224272142434179855e+01,1.563619429456127641e+01,1.381793805017946930e+01,-1.341411760776857420e+01,-1.760329455790643038e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.857340087890625000e+02
2.531068300011308025e+01,1.917475984857051330e+01,-1.840776945462769376e+01,-2.454369260617025716e+01,1.503685218869444107e+01,1.436636494360580230e+01,-1.458265623469767647e+01,-1.654536889550118417e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.879450073242187500e+02
2.607767339405589979e+01,2.147573103039897546e+01,-2.070874063645615593e+01,-2.991262536377000458e+01,1.489609363936601838e+01,1.305445663652382393e+01,-1.335151201609787641e+01,-1.276470403363831352e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.901989746093750000e+02
2.684466378799871933e+01,2.147573103039897546e+01,-2.300971181828461809e+01,-2.684466378799871933e+01,1.467457100155541738e+01,1.336059126450361845e+01,-1.187807553205153965e+01,-1.523991962093067087e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.924769897460937500e+02
2.991262536377000458e+01,2.300971181828461809e+01,-2.070874063645615593e+01,-2.914563496982718149e+01,1.251194907475432139e+01,1.242650242547787265e+01,-1.388301718357529069e+01,-1.369740942763234948e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.946589965820312500e+02
2.837864457588436196e+01,2.224272142434179855e+01,-2.224272142434179855e+01,-2.991262536377000458e+01,1.374694119504113843e+01,1.319122060999607982e+01,-1.302969243303172320e+01,-1.315283043589302814e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.968549804687500000e+02
2.914563496982718149e+01,2.377670221222743763e+01,-2.377670221222743763e+01,-2.837864457588436196e+01,1.328312629178399895e+01,1.217636768248815926e+01,-1.201483950552380087e+01,-1.438782255617984163e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,8.990440063476562500e+02
2.684466378799871933e+01,2.377670221222743763e+01,-2.454369260617025716e+01,-3.067961575771282412e+01,1.529452697581921683e+01,1.238481649603685675e+01,-1.152241249708755078e+01,-1.267855283919843501e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,9.015230102539062500e+02
2.914563496982718149e+01,2.377670221222743763e+01,-2.377670221222743763e+01,-3.144660615165564366e+01,1.375201678252089366e+01,1.244865885857011634e+01,-1.212560250464139955e+01,-1.197244567049475883e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,9.037379760742187500e+02
3.067961575771282412e+01,2.531068300011308025e+01,-2.454369260617025716e+01,-2.914563496982718149e+01,1.258732605727880483e+01,1.127227775409783206e+01,-1.156933313367188987e+01,-1.366602134731998497e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,9.058790283203125000e+02
3.067961575771282412e+01,2.377670221222743763e+01,-2.377670221222743763e+01,-2.837864457588436196e+01,1.250133062207789969e+01,1.241481540667227712e+01,-1.217252314122574042e+01,-1.436166582258620750e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,9.080150146484375000e+02
2.991262536377000458e+01,2.454369260617025716e+01,-2.377670221222743763e+01,-3.221359654559846319e+01,1.303544692037976205e+01,1.185854603570276566e+01,-1.223636550375899823e+01,-1.141740398531798739e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,9.101669921875000000e+02
